"Volume 2,Issue 1",Bayesian inference research in auditing: Some methodological suggestions,Version of Record online: 20 APR 2010,,MOHAMMAD J. ABDOLMOHAMMADI,,,Boston University,,,,Contemporary Accounting Research
"Volume 2,Issue 1",Exclusion period and market model parameter nonstationarities in price reaction studies,Version of Record online: 20 APR 2010,,MICHAEL THEOBALD,,,University of Birmingham,,,,Contemporary Accounting Research
"Volume 2,Issue 1",Audit planning: an algorithmic approach,Version of Record online: 20 APR 2010,,NIV AHITUV,JONATHAN HALPERN,HART WILL,Tel-Aviv University and Claremont Graduate School,University of Victoria,Technion-Israel Institute of Technology,,Contemporary Accounting Research
volume_issue,article_name,publication_year,author4,author1,author2,author3,institute1,institute3,institute2,institute4,journal_name
"Volume 2,Issue 2",Interpretation of uncertainty expressions,Version of Record online: 20 APR 2010,,G.R. CHESLEY,,,Dalhousie University,,,,Contemporary Accounting Research
"Volume 2,Issue 2",An analysis of the auditor's uncertainty about probabilities,Version of Record online: 20 APR 2010,,S. LARSSON,G. R. CHESLEY,,Dalhousie University,,Dalhousie University,,Contemporary Accounting Research
"Volume 2,Issue 2",Discussion of: An analysis of the auditor's uncertainty about probabilities,Version of Record online: 20 APR 2010,,BALA V. BALACHANDRAN,,,Northwestern University,,,,Contemporary Accounting Research
"Volume 2,Issue 2",Discussion of: Market reactions to mandated interest capitalization,Version of Record online: 20 APR 2010,,LAWRENCE D. BROWN,,,University at Buffalo — State University of New York,,,,Contemporary Accounting Research
"Volume 2,Issue 2",A critique of “Market reactions to mandated interest capitalization.”,Version of Record online: 20 APR 2010,,A. RASHAD ABDEL-KHALIK,,,University of Florida,,,,Contemporary Accounting Research
"Volume 2,Issue 2",Economic and financial reporting effects of inventory tax allowances,Version of Record online: 20 APR 2010,,BENZION BARLEV,DOV FRIED,JOSHUA LIVNAT,Hebrew University,Hebrew University and Owen Graduate School of Management Vanderbilt University,New York University,,Contemporary Accounting Research
"Volume 2,Issue 2",Fritz Schmidt (1882–1950) and his pioneering work of current value accounting in comparison to Edwards and Bell's theory,Version of Record online: 20 APR 2010,,RICHARD V. MATTESSICH,,,University of British Columbia,,,,Contemporary Accounting Research
"Volume 2,Issue 2",Market reactions to mandated interest capitalization,Version of Record online: 20 APR 2010,,JOHN S. HUGHES,WILLIAM E. RICKS,,University of British Columbia,,Duke University,,Contemporary Accounting Research
"Volume 2,Issue 2",A note on the neutrality of internal control systems in audit practice,Version of Record online: 20 APR 2010,,JANE HAM,DONNA LOSELL,WALLY SMIELIAUSKAS,Price Waterhouse,University of Toronto,University of Toronto,,Contemporary Accounting Research
"Volume 2,Issue 2",Interprétations des expressions d'incertitude,Version of Record online: 20 APR 2010,,G.R. CHESLEY,,,Dalhousie University,,,,Contemporary Accounting Research
volume_issue,article_name,publication_year,author4,author1,author2,author3,institute1,institute3,institute2,institute4,journal_name
"Volume 3,Issue 1",On the comparison of dollar-unit and stratified mean-per-unit estimators,Version of Record online: 20 APR 2010,,PAUL V. DUNMORE,,,McMaster University,,,,Contemporary Accounting Research
"Volume 3,Issue 1",A model of standard setting in auditing,Version of Record online: 20 APR 2010,,GEORGE W. BLAZENKO,WILLIAM R. SCOTT,,University of Waterloo,,University of Waterloo,,Contemporary Accounting Research
"Volume 3,Issue 1",Current cost disclosers and nondisclosers: Theory and Canadian evidence,Version of Record online: 20 APR 2010,,DANIEL B. THORNTON,,,University of Toronto,,,,Contemporary Accounting Research
"Volume 3,Issue 1",Control of sampling risks in auditing,Version of Record online: 20 APR 2010,,WALLY SMIELIAUSKAS,,,University of Toronto,,,,Contemporary Accounting Research
"Volume 3,Issue 1",Interdependence between the information evaluator and the decision maker,Version of Record online: 20 APR 2010,,RONALD W. HILTON,,,Cornell University,,,,Contemporary Accounting Research
"Volume 3,Issue 1",A test of the accuracy of probability assessment techniques in auditing,Version of Record online: 20 APR 2010,,MOHAMMAD J. ABDOLMOHAMMADI,PAUL D. BERGER,,Boston University,,Boston University,,Contemporary Accounting Research
"Volume 3,Issue 1",Une expérience sur la précision des techniques d‘évaluation des probabilités en vérification,Version of Record online: 20 APR 2010,,MOHAMMAD J. ABDOLMOHAMMADI,PAUL D. BERGER,,Boston University,,Boston University,,Contemporary Accounting Research
"Volume 3,Issue 1",Tests of the fund accounting model for local governments,Version of Record online: 20 APR 2010,,ROBERT W. INGRAM,,,University of Alabama,,,,Contemporary Accounting Research
"Volume 3,Issue 1",Comment on “Standard setting and security returns: A time series analysis of FAS No. 8 events”,Version of Record online: 20 APR 2010,,REX THOMPSON,,,University of Pennsylvania,,,,Contemporary Accounting Research
"Volume 3,Issue 1",The benefits and costs to managers of voluntary accounting disclosure — A discussion of: “Current cost disclosers and nondisclosers: Theory and Canadian evidence”,Version of Record online: 20 APR 2010,,GEORGE J. BENSTON,,,University of Rochester,,,,Contemporary Accounting Research
"Volume 3,Issue 1",Standard setting and security returns: A time series analysis of FAS No. 8 events,Version of Record online: 20 APR 2010,,THOMAS T. CHENG,,,McGill University,,,,Contemporary Accounting Research
"Volume 3,Issue 1",Fund reporting and municipal credit risk: A discussion of Ingram's tests,Version of Record online: 20 APR 2010,,JAMES L. CHAN,,,The University of Illinois at Chicago,,,,Contemporary Accounting Research
"Volume 3,Issue 1",Discussion of “A model of standard setting in auditing”,Version of Record online: 20 APR 2010,,AMIN H. AMERSHI,,,University of British Columbia,,,,Contemporary Accounting Research
"Volume 3,Issue 1",Accountants' personality types and their commitment to organization and profession,Version of Record online: 20 APR 2010,,NISSIM ARANYA,JOHN T. WHEELER,,Tel-Aviv University,,"University of California, Berkeley",,Contemporary Accounting Research
"Volume 3,Issue 1",Discussion of “Current cost disclosers and nondisclosers: Theory and Canadian evidence”,Version of Record online: 20 APR 2010,,STEPHEN L. BUZBY,,,Michigan State University,,,,Contemporary Accounting Research
volume_issue,article_name,publication_year,author4,author1,author2,author3,institute1,institute3,institute2,institute4,journal_name
"Volume 3,Issue 2","Depreciation, inflation and capital replacement",Version of Record online: 20 APR 2010,,GIORA MOORE,,,University of Toronto,,,,Contemporary Accounting Research
"Volume 3,Issue 2",A generalized audit simulation tool for evaluating the reliability of internal controls,Version of Record online: 20 APR 2010,,CASPER E. WIGGINS Jr.,L. MURPHY SMITH,,Texas A&M University,,Texas A&M University,,Contemporary Accounting Research
"Volume 3,Issue 2","Economie consequences: The relationship between financial reporting and strategic planning, management and operating control decisions",Version of Record online: 20 APR 2010,,MARK A. COVALESKI,MARK W. DIRSMITH,CLINTON E. WHITE,University of Wisconsin,The Pennsylvania State University,The Pennsylvania State University,,Contemporary Accounting Research
"Volume 3,Issue 2",A note on the value of information given asymmetric information and self-reporting,Version of Record online: 20 APR 2010,,MARK PENNO,,,University of Chicago,,,,Contemporary Accounting Research
"Volume 3,Issue 2","L'amortissement, l'inflation et le remplacement d'actifs",Version of Record online: 20 APR 2010,,GIORA MOORE,,,University of Toronto,,,,Contemporary Accounting Research
"Volume 3,Issue 2",The effect of information announcements on bid/ask spreads in the call options market,Version of Record online: 20 APR 2010,,JOSEPH H. ANTHONY,,,Michigan State University,,,,Contemporary Accounting Research
"Volume 3,Issue 2",An empirical investigation of audit qualification decisions in the presence of going concern uncertainties,Version of Record online: 20 APR 2010,,KRISHNAGOPAL MENON,KENNETH B. SCHWARTZ,,Boston University,,Boston College,,Contemporary Accounting Research
"Volume 3,Issue 2",Tests of the impact of LIFO adoption on stockholders: A stochastic dominance approach,Version of Record online: 20 APR 2010,,JOSEPH AHARONY,SASSON BAR-YOSEF,,Tel Aviv University and the University of Maryland,,Hebrew University of Jerusalem and the University of Texas at Austin,,Contemporary Accounting Research
"Volume 3,Issue 2",An index of growth due to depreciation,Version of Record online: 20 APR 2010,,RICHARD P. BRIEF,HECTOR R. ANTON,,New York University,,New York University,,Contemporary Accounting Research
"Volume 3,Issue 2",The effect of sales and collection disclosures on cash flow forecasting and income smoothing,Version of Record online: 20 APR 2010,,BALA G. DHARAN,,,Rice University,,,,Contemporary Accounting Research
"Volume 3,Issue 2",Accounting as a discipline for study and practice: 1986,Version of Record online: 20 APR 2010,,PHILIP W. BELL,,,Rice University,,,,Contemporary Accounting Research
volume_issue,article_name,publication_year,author4,author1,author2,author3,institute1,institute3,institute2,institute4,journal_name
"Volume 4,Issue 1",Design and tests of an efficient search algorithm for accurate linear valuation systems,Version of Record online: 20 APR 2010,,MICHAEL S.H. SHIH,SHYAM SUNDER,,University of Minnesota,,University of Minnesota,,Contemporary Accounting Research
"Volume 4,Issue 1",Rationality of executive compensation schemes and real accounting changes,Version of Record online: 20 APR 2010,,A. RASHAD ABDEL-KHALIK,CHARLES CHI,DIMITRIOS GHICAS,University of Florida,Baruch College - CUNY,University of Florida,,Contemporary Accounting Research
"Volume 4,Issue 1",On the nature of income measurement: The basic results,Version of Record online: 20 APR 2010,,JAMES A. OHLSON,,,Columbia University,,,,Contemporary Accounting Research
"Volume 4,Issue 1",Diagnostic inference in performance evaluation: effects of cause and event covariation and similarity,Version of Record online: 20 APR 2010,,CLIFTON BROWN,,,University of Illinois,,,,Contemporary Accounting Research
"Volume 4,Issue 1",Stock returns and real activity in an inflationary environment: The informational impact of FAS No. 33,Version of Record online: 20 APR 2010,,JOHN S. BILDERSEE,JOSHUA RONEN,,New York University,,New York University,,Contemporary Accounting Research
"Volume 4,Issue 1",The effect of labor strikes on security analysts' forecast superiority and on the association between risk-adjusted stock returns and unexpected earnings,Version of Record online: 20 APR 2010,,LAWRENCE D. BROWN,MARK E. ZMIJEWSKI,,University at Buffalo - SUNY,,University of Chicago,,Contemporary Accounting Research
"Volume 4,Issue 1",CVP analysis with stochastic price-demand functions and shortage-surplus costs,Version of Record online: 20 APR 2010,,AMY HING-LING LAU,HON-SHIANG LAU,,Oklahoma State University,,Oklahoma State University,,Contemporary Accounting Research
"Volume 4,Issue 1",An investigation of the possible effects of nonsampling error on inference in auditing: A Bayesian analysis,Version of Record online: 20 APR 2010,,RAMONA L. TRADER,H. FENWICK HUSS,,University of Maryland,,University of Maryland,,Contemporary Accounting Research
"Volume 4,Issue 1",A comparison of the stratified difference estimator with some monetary-unit sampling estimators,Version of Record online: 20 APR 2010,,ULRICH MENZEFRICKE,WALLY SMIELIAUSKAS,,University of Toronto,,University of Toronto,,Contemporary Accounting Research
"Volume 4,Issue 1",Discussion of “On the allocation of fixed and variable costs from service departments”,Version of Record online: 20 APR 2010,,ANTHONY A. ATKINSON,,,University of Waterloo,,,,Contemporary Accounting Research
"Volume 4,Issue 1","Les effets de la note de planification, des pressions temporelles et des caractéristiques individuelles du vérificateur sur l'estimation du temps de révision par le chef de groupe en vérification",Version of Record online: 20 APR 2010,,E. MICHAEL BAMBER,JOSEPH H. BYLINSKI,,University of Florida,,University of North Carolina at Chapel Hill,,Contemporary Accounting Research
"Volume 4,Issue 1",Some empirical evidence on the stability of accounting error characteristics over time,Version of Record online: 20 APR 2010,,JANE HAM,DONNA LOSELL,WALLY SMIELIAUSKAS,Price Waterhouse,University of Toronto,University of Toronto,,Contemporary Accounting Research
"Volume 4,Issue 1","The effects of the planning memorandum, time pressure and individual auditor characteristics on audit managers' review time judgments",Version of Record online: 20 APR 2010,,E. MICHAEL BAMBER,JOSEPH H. BYLINSKI,,University of Florida,,University of North Carolina at Chapel Hill,,Contemporary Accounting Research
"Volume 4,Issue 1",On the allocation of fixed and variable costs from service departments,Version of Record online: 20 APR 2010,,BALA V. BALACHANDRAN,LODE LI,ROBERT P. MAGEE,Northwestern University,Northwestern University,Massachusetts Institute of Technology,,Contemporary Accounting Research
"Volume 4,Issue 1",Some time series properties of corporate cash recovery rates,Version of Record online: 20 APR 2010,,BADR E. ISMAIL,,,Syracuse University,,,,Contemporary Accounting Research
volume_issue,article_name,publication_year,author4,author1,author2,author3,institute1,institute3,institute2,institute4,journal_name
"Volume 4,Issue 2",An experimental study of the effects of elicitation methods on review of preliminary audit strategy by external auditors,Version of Record online: 20 APR 2010,,J.E. BORITZ,B.G. GABER,W.M. LEMON,University of Waterloo,University of Waterloo,University of Waterloo,,Contemporary Accounting Research
"Volume 4,Issue 2","L'attestation: avenues de recherche, 1987",Version of Record online: 20 APR 2010,,WILLIAM R. KINNEY JR.,,,The University of Texas at Austin,,,,Contemporary Accounting Research
"Volume 4,Issue 2",On sample size allocation in auditing,Version of Record online: 20 APR 2010,,ULRICH MENZEFRICKE,WALLY SMIELIAUSKAS,,University of Toronto,,University of Toronto,,Contemporary Accounting Research
"Volume 4,Issue 2",Discussion of “An experimental study of the effects of elicitation methods on review of preliminary audit strategy by external auditors”,Version of Record online: 20 APR 2010,,MICHAEL GIBBINS,,,University of Alberta,,,,Contemporary Accounting Research
"Volume 4,Issue 2",A hierarchical approach to the external auditor's evaluation of the internal auditing function,Version of Record online: 20 APR 2010,,WILLIAM F. MESSIER JR.,ARNOLD SCHNEIDER,,University of Florida,,Georgia Institute of Technology,,Contemporary Accounting Research
"Volume 4,Issue 2",Attestation research opportunities: 1987,Version of Record online: 20 APR 2010,,WILLIAM R. KINNEY JR.,,,The University of Texas at Austin,,,,Contemporary Accounting Research
"Volume 4,Issue 2",Firm size and the information content of annual earnings announcements,Version of Record online: 20 APR 2010,,BYUNG T. RO,,,Purdue University,,,,Contemporary Accounting Research
"Volume 4,Issue 2",Economic effects of a mandated audit in a contingent-claims production economy,Version of Record online: 20 APR 2010,,WILLIAM R. SCOTT,,,University of Waterloo,,,,Contemporary Accounting Research
"Volume 4,Issue 2",Discussion of “Economic effects of a mandated audit in a contingent-claims production economy”,Version of Record online: 20 APR 2010,,MARK PENNO,,,University of Chicago,,,,Contemporary Accounting Research
"Volume 4,Issue 2",Discussion of “A comparative examination of the time-series properties and predictive ability of annual historical cost and general price level adjusted earnings”,Version of Record online: 20 APR 2010,,JAMES A. OHLSON,,,Columbia University,,,,Contemporary Accounting Research
"Volume 4,Issue 2",Discussion of “On interim information and the information content of firm earnings: A state variable approach”,Version of Record online: 20 APR 2010,,DANIEL B. THORNTON,,,University of Toronto,,,,Contemporary Accounting Research
"Volume 4,Issue 2",Implementable equilibria in accounting contexts: An exploratory study,Version of Record online: 20 APR 2010,,AMIN H. AMERSHI,PETER CHENG,,The University of Minnesota,,University of British Columbia,,Contemporary Accounting Research
"Volume 4,Issue 2",Discussion of “A comparative examination of the time-series properties and predictive ability of annual historical cost and general price level adjusted earnings”,Version of Record online: 20 APR 2010,,WAYNE R. LANDSMAN,,,University of California - Los Angeles,,,,Contemporary Accounting Research
"Volume 4,Issue 2",Discussion of “Implementable equilibria in accounting contexts: An exploratory study”,Version of Record online: 20 APR 2010,,RONALD A. DYE,,,Northwestern University,,,,Contemporary Accounting Research
"Volume 4,Issue 2",The effect of unfunded accumulated and projected pension obligations on governmental borrowing costs,Version of Record online: 20 APR 2010,,BARRY R. MARKS,K. K. RAMAN,,University of Houston at Clear Lake,,University of North Texas,,Contemporary Accounting Research
"Volume 4,Issue 2",On interim information and the information content of firm earnings: A state variable approach,Version of Record online: 20 APR 2010,,ALEX DONTOH,GORDON RICHARDSON,,University of British Columbia,,University of British Columbia,,Contemporary Accounting Research
"Volume 4,Issue 2",A comparative examination of the time-series properties and predictive ability of annual historical cost and general price level adjusted earnings,Version of Record online: 20 APR 2010,,JAMES C. MCKEOWN,HOSSEIN SHALCHI,,University of Illinois at Urbana-Champaign,,University of Michigan-Flint,,Contemporary Accounting Research
"Volume 4,Issue 2",Comment on: “Distinguishing the two forms of the constant percentage learning curve model”,Version of Record online: 20 APR 2010,,A. WILLIAM RICHARDSON,,,McMaster University,,,,Contemporary Accounting Research
"Volume 4,Issue 2",Distinguishing the two forms of the constant percentage learning curve model: A reply,Version of Record online: 20 APR 2010,,JOYCE T. CHEN,RENE P. MANES,,University of Illinois at Chicago,,Florida State University,,Contemporary Accounting Research
"Volume 4,Issue 2",Discussion of “An empirical analysis of the expenditure budget in research and development”,Version of Record online: 20 APR 2010,,JACOB G. BIRNBERG,,,University of Pittsburgh,,,,Contemporary Accounting Research
"Volume 4,Issue 2",Discussion of “An empirical analysis of the expenditure budget in research and development”,Version of Record online: 20 APR 2010,,JOHN H. WATERHOUSE,,,University of Alberta,,,,Contemporary Accounting Research
"Volume 4,Issue 2",An empirical analysis of the expenditure budget in research and development,Version of Record online: 20 APR 2010,,HOWARD O. ROCKNESS,MICHAEL D. SHIELDS,,University of North Carolina at Chapel Hill,,San Diego State University,,Contemporary Accounting Research
volume_issue,article_name,publication_year,author4,author1,author2,author3,institute1,institute3,institute2,institute4,journal_name
"Volume 5,Issue 1",The pricing of audit services: The Canadian perspective,Version of Record online: 20 APR 2010,,DENNIS Y. CHUNG,W. DARYL LINDSAY,,University of Saskatchewan,,University of Saskatchewan,,Contemporary Accounting Research
"Volume 5,Issue 1",Improving performance through cost allocation,Version of Record online: 20 APR 2010,,SUSAN I. COHEN,MARTIN LOEB,,University of Illinois,,University of Maryland,,Contemporary Accounting Research
"Volume 5,Issue 1",Empirical comparison of subjective probability elicitation methods,Version of Record online: 20 APR 2010,,WILLIAM F. WRIGHT,,,University of California - Irvine,,,,Contemporary Accounting Research
"Volume 5,Issue 1",Auditors' usage of unaudited book values when making presampling audit value estimates,Version of Record online: 20 APR 2010,,MICHAEL D. SHIELDS,IRA SOLOMON,WILLIAM S. WALLER,San Diego State University,University of Arizona,University of Illinois,,Contemporary Accounting Research
"Volume 5,Issue 1",Comparaison empirique des méthodes d'inférence de probabilités subjectives,Version of Record online: 20 APR 2010,,WILLIAM F. WRIGHT,,,University of California,,,,Contemporary Accounting Research
"Volume 5,Issue 1",Discussion of “Firm-specific Information and Efficient Resource Allocation”,Version of Record online: 20 APR 2010,,RICK ANTLE,,,Yale School of Organization and Management,,,,Contemporary Accounting Research
"Volume 5,Issue 1",Analysis of the organizational characteristics related to tight budget goals,Version of Record online: 20 APR 2010,,ROBERT SIMONS,,,Harvard University,,,,Contemporary Accounting Research
"Volume 5,Issue 1",Exercising budgetary control in automated production environments,Version of Record online: 20 APR 2010,,YAW M. MENSAH,,,Rutgers University,,,,Contemporary Accounting Research
"Volume 5,Issue 1",Variance analysis: A unifying cost function approach,Version of Record online: 20 APR 2010,,MASAKO N. DARROUGH,,,Columbia University,,,,Contemporary Accounting Research
"Volume 5,Issue 1",Discussion of “Unobservable outcomes and multiattribute preferences in the evaluation of managerial performance”,Version of Record online: 20 APR 2010,,GERALD A. FELTHAM,,,University of British Columbia,,,,Contemporary Accounting Research
"Volume 5,Issue 1",Joint product decisions: The variable proportions case,Version of Record online: 20 APR 2010,,LLOYD R. AMEY,JEAN-LOUIS GOFFIN,,McGill University,,McGill University,,Contemporary Accounting Research
"Volume 5,Issue 1",Firm-specific information and efficient resource allocation,Version of Record online: 20 APR 2010,,GERALD A. FELTHAM,PETER O. CHRISTENSEN,,University of British Columbia,,Odense University,,Contemporary Accounting Research
"Volume 5,Issue 1",The sensitivity of financial distress prediction models to departures from normality,Version of Record online: 20 APR 2010,,WILLIAM HOPWOOD,JAMES McKEOWN,JANE MUTCHLER,The University of Houston at University Park,The Ohio State University,University of Illinois at Urbana-Champaign,,Contemporary Accounting Research
"Volume 5,Issue 1",Trading volume reactions to a change in dividend policy: the Canadian evidence,Version of Record online: 20 APR 2010,,GORDON RICHARDSON,STEPHAN E. SEFCIK,REX THOMPSON,McMaster University,Southern Methodist University,University of Washington,,Contemporary Accounting Research
"Volume 5,Issue 1",Inventory accounting and earnings/price ratios: A puzzle,Version of Record online: 20 APR 2010,,CHI-WEN JEVONS LEE,,,University of Pennsylvania,,,,Contemporary Accounting Research
"Volume 5,Issue 1",Incremental information content of earnings-and nonearnings-based financial ratios,Version of Record online: 20 APR 2010,,WILLIAM S. HOPWOOD,THOMAS F. SCHAEFER,,University of Houston,,Florida State University,,Contemporary Accounting Research
"Volume 5,Issue 1",Discussion of “Inventory accounting and earnings/price ratios: A Puzzle”,Version of Record online: 20 APR 2010,,GARY C. BIDDLE,,,University of Washington,,,,Contemporary Accounting Research
"Volume 5,Issue 1",Capital values in use versus replacement costs: Theory and Canadian evidence,Version of Record online: 20 APR 2010,,DANIEL B. THORNTON,,,University of Toronto,,,,Contemporary Accounting Research
"Volume 5,Issue 1",Unobservable outcomes and multiattribute preferences in the evaluation of managerial performance,Version of Record online: 20 APR 2010,,RAJIV D. BANKER,SRIKANT M. DATAR,AJAY MAINDIRATTA,Carnegie Mellon University,New York University,Carnegie Mellon University,,Contemporary Accounting Research
"Volume 5,Issue 1",Discussion of “Exercising budgetary control in automated production environments”,Version of Record online: 20 APR 2010,,ROBERT E. JENSEN,,,Trinity University,,,,Contemporary Accounting Research
volume_issue,article_name,publication_year,author4,author1,author2,author3,institute1,institute3,institute2,institute4,journal_name
"Volume 5,Issue 2",Discussion of “The valuation of initial public offerings”,Version of Record online: 20 APR 2010,,PHELIM P. BOYLE,,,University of Waterloo,,,,Contemporary Accounting Research
"Volume 5,Issue 2","Proof that in an efficient market, event studies can provide no systematic guidance for revision of accounting standards and disclosure policy for the purpose of maximizing shareholder wealth",Version of Record online: 20 APR 2010,,SHYAM SUNDER,,,Carnegie Mellon University,,,,Contemporary Accounting Research
"Volume 5,Issue 2",The valuation of initial public offerings,Version of Record online: 20 APR 2010,,I. KRINSKY,W. ROTENBERG,,McMaster University,,McMaster University,,Contemporary Accounting Research
"Volume 5,Issue 2",Revenue recognition,Version of Record online: 20 APR 2010,,RICK ANTLE,JOEL S. DEMSKI,,Yale University,,Yale University,,Contemporary Accounting Research
"Volume 5,Issue 2","Discussion of “Proof that in an efficient market, event studies can provide no systematic guidance for revision of accounting standards and disclosure policy for the purpose of maximizing shareholder wealth”",Version of Record online: 20 APR 2010,,NICHOLAS DOPUCH,,,Washington University,,,,Contemporary Accounting Research
"Volume 5,Issue 2",The effect of a mandated accounting change on the capitalization process,Version of Record online: 20 APR 2010,,RANDOLPH P. BEATTY,ROBERT E. VERRECCHIA,,University of Chicago,,University of Pennsylvania,,Contemporary Accounting Research
"Volume 5,Issue 2",Evidence on the predictive ability of inflation-adjusted earnings measures,Version of Record online: 20 APR 2010,,HEIBATOLLAH SAMI,ANTHONY P. CURATOLA,JERRY E. TRAPNELL,Temple University,Clemson University,Louisiana State University,,Contemporary Accounting Research
"Volume 5,Issue 2","Timeliness of financial reporting, the firm size effect, and stock price reactions to annual earnings announcements",Version of Record online: 20 APR 2010,,ROWLAND K. ATIASE,LINDA S. BAMBER,SENYO TSE,University of Texas at Austin,University of Florida,University of Florida,,Contemporary Accounting Research
"Volume 5,Issue 2",Discussion of “The valuation of initial public offerings”,Version of Record online: 20 APR 2010,,JOHN S. HUGHES,,,University of British Columbia,,,,Contemporary Accounting Research
"Volume 5,Issue 2","Attributes of industry, industry segment and firm-specific information in security valuation",Version of Record online: 20 APR 2010,,SENYO TSE,,,University of Florida,,,,Contemporary Accounting Research
"Volume 5,Issue 2",The impact of regulations on financial accounting research,Version of Record online: 20 APR 2010,,NICHOLAS DOPUCH,,,Washington University,,,,Contemporary Accounting Research
"Volume 5,Issue 2",On the nature of deferred income taxes,Version of Record online: 20 APR 2010,,JOSEPH K. CHEUNG,,,Simon Fraser University,,,,Contemporary Accounting Research
"Volume 5,Issue 2","Discussion of “Attributes of industry, industry segment and firm-specific information in security valuation”",Version of Record online: 20 APR 2010,,BERTRAND HORWITZ,,,SUNY at Binghamton,,,,Contemporary Accounting Research
"Volume 5,Issue 2","Discussion of “Attributes of industry, industry segment and firm-specific information in security valuation”",Version of Record online: 20 APR 2010,,MAUREEN McNICHOLS,,,Stanford University,,,,Contemporary Accounting Research
"Volume 5,Issue 2",L‘évaluation de la probabilité des pertes éventuelles: une étude empirique,Version of Record online: 20 APR 2010,,KENNETH E. HARRISON,LAWRENCE A. TOMASSINI,,University of Illinois,,University of Illinois,,Contemporary Accounting Research
"Volume 5,Issue 2",Decision theory analysis of audit discovery sampling,Version of Record online: 20 APR 2010,,DAVID R. FINLEY,,,University of Houston,,,,Contemporary Accounting Research
"Volume 5,Issue 2",Audit delay and the timeliness of corporate reporting,Version of Record online: 20 APR 2010,,ROBERT H. ASHTON,PAUL R. GRAUL,JAMES D. NEWTON,Duke University,University of Alberta,Eastern Washington University,,Contemporary Accounting Research
